#FORMAT=WebAnno TSV 3.3


#Text=CAPITOLO PRIMO\r
#Text=\r
#Text=\r
#Text=La scorciatoia\r
#Text=\r
#Text=\r
#Text=\r
#Text=1\r
#Text=\r
#Text=Ero meravigliato di essere vivo, ma stanco di aspettare soccorsi.
1-1	0-8	CAPITOLO	
12-9	1060-1063	dei	
12-10	1064-1071	quattro	
12-11	1072-1078	giorni	
12-12	1079-1082	che	
12-13	1083-1084	m	
12-14	1084-1085	’	
12-15	1085-1092	avevano	
12-16	1093-1101	concesso	
12-17	1102-1105	per	
12-18	1106-1113	trovare	
12-19	1114-1116	un	
12-20	1117-1125	dentista	
12-21	1125-1126	.	

#Text=Sì, dovevo andarmene.
13-1	1130-1132	Sì	
13-2	1132-1133	,	
13-3	1134-1140	dovevo	
13-4	1141-1150	andarmene	
13-5	1150-1151	.	

#Text=Oltre la valle, nel cielo bianco, appariva il ciglio opposto dell’altopiano.
14-1	1152-1157	Oltre	
14-2	1158-1160	la	
14-3	1161-1166	valle	
14-4	1166-1167	,	
14-5	1168-1171	nel	
14-6	1172-1177	cielo	
14-7	1178-1184	bianco	
14-8	1184-1185	,	
14-9	1186-1194	appariva	
14-10	1195-1197	il	
14-11	1198-1204	ciglio	
14-12	1205-1212	opposto	
14-13	1213-1217	dell	
14-14	1217-1218	’	
14-15	1218-1227	altopiano	
14-16	1227-1228	.	

#Text=Il fiume aveva scavato attorno alle montagne lasciandole asciutte come ossi.
15-1	1229-1231	Il	
15-2	1232-1237	fiume	
15-3	1238-1243	aveva	
15-4	1244-1251	scavato	
15-5	1252-1259	attorno	
15-6	1260-1264	alle	
15-7	1265-1273	montagne	
15-8	1274-1285	lasciandole	
15-9	1286-1294	asciutte	
15-10	1295-1299	come	
15-11	1300-1304	ossi	
15-12	1304-1305	.	

#Text=Tra i due cigli correvano chilometri, quanti non so, perché le distanze ingannano con questa luce che disegna le più lontane minuzie: forse cinque o sei.
16-1	1306-1309	Tra	
16-2	1310-1311	i	
16-3	1312-1315	due	
16-4	1316-1321	cigli	
16-5	1322-1331	correvano	
16-6	1332-1342	chilometri	
16-7	1342-1343	,	
16-8	1344-1350	quanti	
16-9	1351-1354	non	
16-10	1355-1357	so	
16-11	1357-1358	,	
16-12	1359-1365	perché	
16-13	1366-1368	le	
16-14	1369-1377	distanze	
16-15	1378-1387	ingannano	
16-16	1388-1391	con	
16-17	1392-1398	questa	
16-18	1399-1403	luce	
16-19	1404-1407	che	
16-20	1408-1415	disegna	
16-21	1416-1418	le	
16-22	1419-1422	più	
16-23	1423-1430	lontane	
16-24	1431-1438	minuzie	
16-25	1438-1439	:	
16-26	1440-1445	forse	
16-27	1446-1452	cinque	
16-28	1453-1454	o	
16-29	1455-1458	sei	
16-30	1458-1459	.	

#Text=E, oltre il ciglio, la vita calma dei depositi.
17-1	1460-1461	E	
17-2	1461-1462	,	
17-3	1463-1468	oltre	
17-4	1469-1471	il	
17-5	1472-1478	ciglio	
17-6	1478-1479	,	
17-7	1480-1482	la	
17-8	1483-1487	vita	
17-9	1488-1493	calma	
17-10	1494-1497	dei	
17-11	1498-1506	depositi	
17-12	1506-1507	.	

#Text=Ancora avanti, e la parola domenica avrebbe riacquistato valore.
18-1	1508-1514	Ancora	
18-2	1515-1521	avanti	
18-3	1521-1522	,	
18-4	1523-1524	e	
18-5	1525-1527	la	
18-6	1528-1534	parola	
18-7	1535-1543	domenica	
18-8	1544-1551	avrebbe	
18-9	1552-1564	riacquistato	
18-10	1565-1571	valore	
18-11	1571-1572	.	

#Text=Avrei trovato il primo letto con le lenzuola, il primo giornalaio.
19-1	1573-1578	Avrei	
19-2	1579-1586	trovato	
19-3	1587-1589	il	
19-4	1590-1595	primo	
19-5	1596-1601	letto	
19-6	1602-1605	con	
19-7	1606-1608	le	
19-8	1609-1617	lenzuola	
19-9	1617-1618	,	
19-10	1619-1621	il	
19-11	1622-1627	primo	
19-12	1628-1638	giornalaio	
19-13	1638-1639	.	

#Text=E un dentista.
20-1	1640-1641	E	
20-2	1642-1644	un	
20-3	1645-1653	dentista	
20-4	1653-1654	.	

#Text=Il soldato non voleva cedere.
21-1	1658-1660	Il	
21-2	1661-1668	soldato	
21-3	1669-1672	non	
21-4	1673-1679	voleva	
21-5	1680-1686	cedere	
21-6	1686-1687	.	

#Text=«Aspetti,» disse «passerà qualcuno.»
22-1	1688-1689	«	
22-2	1689-1696	Aspetti	
22-3	1696-1697	,	
22-4	1697-1698	»	
22-5	1699-1704	disse	
22-6	1705-1706	«	
22-7	1706-1713	passerà	
22-8	1714-1722	qualcuno	
22-9	1722-1723	.	
22-10	1723-1724	»	

#Text=Guardai il camion che giaceva con le ruote contro la scarpata e scossi la testa: non passava nessuno.
23-1	1725-1732	Guardai	
23-2	1733-1735	il	
23-3	1736-1742	camion	
23-4	1743-1746	che	
23-5	1747-1754	giaceva	
23-6	1755-1758	con	
23-7	1759-1761	le	
23-8	1762-1767	ruote	
23-9	1768-1774	contro	
23-10	1775-1777	la	
23-11	1778-1786	scarpata	
23-12	1787-1788	e	
23-13	1789-1795	scossi	
23-14	1796-1798	la	
23-15	1799-1804	testa	
23-16	1804-1805	:	
23-17	1806-1809	non	
23-18	1810-1817	passava	
23-19	1818-1825	nessuno	
23-20	1825-1826	.	

#Text=Era passato soltanto un colonnello, annoiato come un generale.
24-1	1827-1830	Era	
24-2	1831-1838	passato	
24-3	1839-1847	soltanto	
24-4	1848-1850	un	
24-5	1851-1861	colonnello	
24-6	1861-1862	,	
24-7	1863-1871	annoiato	
24-8	1872-1876	come	
24-9	1877-1879	un	
24-10	1880-1888	generale	
24-11	1888-1889	.	

#Text=E la petulanza del soldato cominciava a infastidirmi.
25-1	1890-1891	E	
25-2	1892-1894	la	
25-3	1895-1904	petulanza	
25-4	1905-1908	del	
25-5	1909-1916	soldato	
25-6	1917-1927	cominciava	
25-7	1928-1929	a	
25-8	1930-1942	infastidirmi	
25-9	1942-1943	.	

#Text=Essersi salvati insieme non mi sembrava più una buona ragione per mostrarci fotografie, raccontarci i fatti propri, azzardare le solite previsioni sul nostro ritorno in Italia.
26-1	1944-1951	Essersi	
26-2	1952-1959	salvati	
26-3	1960-1967	insieme	
26-4	1968-1971	non	
26-5	1972-1974	mi	
26-6	1975-1983	sembrava	
26-7	1984-1987	più	
26-8	1988-1991	una	
26-9	1992-1997	buona	
26-10	1998-2005	ragione	
26-11	2006-2009	per	
26-12	2010-2019	mostrarci	
26-13	2020-2030	fotografie	
26-14	2030-2031	,	
26-15	2032-2043	raccontarci	
26-16	2044-2045	i	
26-17	2046-2051	fatti	
26-18	2052-2058	propri	
26-19	2058-2059	,	
26-20	2060-2069	azzardare	
26-21	2070-2072	le	
26-22	2073-2079	solite	
26-23	2080-2090	previsioni	
26-24	2091-2094	sul	
26-25	2095-2101	nostro	
26-26	2102-2109	ritorno	
26-27	2110-2112	in	
26-28	2113-2119	Italia	
26-29	2119-2120	.	

#Text=Pure, mi dispiaceva abbandonarlo.
27-1	2121-2125	Pure	
27-2	2125-2126	,	
27-3	2127-2129	mi	
27-4	2130-2140	dispiaceva	
27-5	2141-2153	abbandonarlo	
27-6	2153-2154	.	

#Text=«E così, mi lascia solo?»
28-1	2158-2159	«	
28-2	2159-2160	E	
28-3	2161-2165	così	
28-4	2165-2166	,	
28-5	2167-2169	mi	
28-6	2170-2176	lascia	
28-7	2177-2181	solo	
28-8	2181-2182	?	
28-9	2182-2183	»	

#Text=Cominciai a raccogliere la mia roba, lo zaino, il cinturone con la rivoltella.
29-1	2187-2196	Cominciai	
29-2	2197-2198	a	
29-3	2199-2210	raccogliere	
29-4	2211-2213	la	
29-5	2214-2217	mia	
29-6	2218-2222	roba	
29-7	2222-2223	,	
29-8	2224-2226	lo	
29-9	2227-2232	zaino	
29-10	2232-2233	,	
29-11	2234-2236	il	
29-12	2237-2246	cinturone	
29-13	2247-2250	con	
29-14	2251-2253	la	
29-15	2254-2264	rivoltella	
29-16	2264-2265	.	

#Text=Per mitigare la mia fuga cercai un pretesto, ma era un cattivo pretesto: gli dissi che se avessi trovato un camion giù al fiume (spesso i conducenti si fermavano a fare il bagno), sarei tornato ad aiutarlo.
30-1	2266-2269	Per	
30-2	2270-2278	mitigare	
30-3	2279-2281	la	
30-4	2282-2285	mia	
30-5	2286-2290	fuga	
30-6	2291-2297	cercai	
30-7	2298-2300	un	
30-8	2301-2309	pretesto	
30-9	2309-2310	,	
30-10	2311-2313	ma	
30-11	2314-2317	era	
30-12	2318-2320	un	
30-13	2321-2328	cattivo	
30-14	2329-2337	pretesto	
30-15	2337-2338	:	
30-16	2339-2342	gli	
30-17	2343-2348	dissi	
30-18	2349-2352	che	
30-19	2353-2355	se	
30-20	2356-2362	avessi	
30-21	2363-2370	trovato	
30-22	2371-2373	un	
30-23	2374-2380	camion	
30-24	2381-2384	giù	
30-25	2385-2387	al	
30-26	2388-2393	fiume	
30-27	2394-2395	(	
30-28	2395-2401	spesso	
30-29	2402-2403	i	
30-30	2404-2414	conducenti	
30-31	2415-2417	si	
30-32	2418-2427	fermavano	
30-33	2428-2429	a	
30-34	2430-2434	fare	
30-35	2435-2437	il	
30-36	2438-2443	bagno	
30-37	2443-2444	)	
30-38	2444-2445	,	
30-39	2446-2451	sarei	
30-40	2452-2459	tornato	
30-41	2460-2462	ad	
30-42	2463-2471	aiutarlo	
30-43	2471-2472	.	

#Text=Il soldato finse di crederci e questa sua improvvisa e ostile condiscendenza mi fece arrossire.
31-1	2473-2475	Il	
31-2	2476-2483	soldato	
31-3	2484-2489	finse	
31-4	2490-2492	di	
31-5	2493-2501	crederci	
31-6	2502-2503	e	
31-7	2504-2510	questa	
31-8	2511-2514	sua	
31-9	2515-2525	improvvisa	
31-10	2526-2527	e	
31-11	2528-2534	ostile	
31-12	2535-2549	condiscendenza	
31-13	2550-2552	mi	
31-14	2553-2557	fece	
31-15	2558-2567	arrossire	
31-16	2567-2568	.	

#Text=Mi strinse la mano senza calore, veramente deluso.
32-1	2569-2571	Mi	
32-2	2572-2579	strinse	
32-3	2580-2582	la	
32-4	2583-2587	mano	
32-5	2588-2593	senza	
32-6	2594-2600	calore	
32-7	2600-2601	,	
32-8	2602-2611	veramente	
32-9	2612-2618	deluso	
32-10	2618-2619	.	

#Text=Dopo cinquanta passi, un gomito della strada me li nascose, lui e il suo autocarro, e d’allora non li ho più rivisti.
33-1	2620-2624	Dopo	
33-2	2625-2634	cinquanta	
33-3	2635-2640	passi	
33-4	2640-2641	,	
33-5	2642-2644	un	
33-6	2645-2651	gomito	
33-7	2652-2657	della	
33-8	2658-2664	strada	
33-9	2665-2667	me	
33-10	2668-2670	li	
33-11	2671-2678	nascose	
33-12	2678-2679	,	
33-13	2680-2683	lui	
33-14	2684-2685	e	
33-15	2686-2688	il	
33-16	2689-2692	suo	
33-17	2693-2702	autocarro	
33-18	2702-2703	,	
33-19	2704-2705	e	
33-20	2706-2707	d	
33-21	2707-2708	’	
33-22	2708-2714	allora	
33-23	2715-2718	non	
33-24	2719-2721	li	
33-25	2722-2724	ho	
33-26	2725-2728	più	
33-27	2729-2736	rivisti	
33-28	2736-2737	.	

#Text=Era ancora molto lontano il ponte?
34-1	2741-2744	Era	
34-2	2745-2751	ancora	
34-3	2752-2757	molto	
34-4	2758-2765	lontano	
34-5	2766-2768	il	
34-6	2769-2774	ponte	
34-7	2774-2775	?	

#Text=Avrei potuto prendere una scorciatoia, ma non ho troppa fiducia delle scorciatoie africane.
35-1	2776-2781	Avrei	
35-2	2782-2788	potuto	
35-3	2789-2797	prendere	
35-4	2798-2801	una	
35-5	2802-2813	scorciatoia	
35-6	2813-2814	,	
35-7	2815-2817	ma	
35-8	2818-2821	non	
35-9	2822-2824	ho	
35-10	2825-2831	troppa	
35-11	2832-2839	fiducia	
35-12	2840-2845	delle	
35-13	2846-2857	scorciatoie	
35-14	2858-2866	africane	
35-15	2866-2867	.	

#Text=Pure ogni tanto la strada, dalla parte del fiume, si apriva a qualche sentiero che, dopo brevi giravolte, precipitava verso la boscaglia.
36-1	2868-2872	Pure	
36-2	2873-2877	ogni	
36-3	2878-2883	tanto	
36-4	2884-2886	la	
36-5	2887-2893	strada	
36-6	2893-2894	,	
36-7	2895-2900	dalla	
36-8	2901-2906	parte	
36-9	2907-2910	del	
36-10	2911-2916	fiume	
36-11	2916-2917	,	
36-12	2918-2920	si	
36-13	2921-2927	apriva	
36-14	2928-2929	a	
36-15	2930-2937	qualche	
36-16	2938-2946	sentiero	
36-17	2947-2950	che	
36-18	2950-2951	,	
36-19	2952-2956	dopo	
36-20	2957-2962	brevi	
36-21	2963-2972	giravolte	
36-22	2972-2973	,	
36-23	2974-2985	precipitava	
36-24	2986-2991	verso	
36-25	2992-2994	la	
36-26	2995-3004	boscaglia	
36-27	3004-3005	.	

#Text=Trascurai, dunque, le scorciatoie e dopo due ore (il caldo era aumentato e gli alberi spaventosamente cresciuti, ma sempre più di cartapesta, sempre più vecchi e untuosi, come santi di una religione scaduta), vidi che la boscaglia infittiva e che la strada diventava calda e sabbiosa.
37-1	3009-3018	Trascurai	
37-2	3018-3019	,	
37-3	3020-3026	dunque	
37-4	3026-3027	,	
37-5	3028-3030	le	
37-6	3031-3042	scorciatoie	
37-7	3043-3044	e	
37-8	3045-3049	dopo	
37-9	3050-3053	due	
37-10	3054-3057	ore	
37-11	3058-3059	(	
37-12	3059-3061	il	
37-13	3062-3067	caldo	
37-14	3068-3071	era	
37-15	3072-3081	aumentato	
37-16	3082-3083	e	
37-17	3084-3087	gli	
37-18	3088-3094	alberi	
37-19	3095-3110	spaventosamente	
37-20	3111-3120	cresciuti	
37-21	3120-3121	,	
37-22	3122-3124	ma	
37-23	3125-3131	sempre	
37-24	3132-3135	più	
37-25	3136-3138	di	
37-26	3139-3149	cartapesta	
37-27	3149-3150	,	
37-28	3151-3157	sempre	
37-29	3158-3161	più	
37-30	3162-3168	vecchi	
37-31	3169-3170	e	
37-32	3171-3178	untuosi	
37-33	3178-3179	,	
37-34	3180-3184	come	
37-35	3185-3190	santi	
37-36	3191-3193	di	
37-37	3194-3197	una	
37-38	3198-3207	religione	
37-39	3208-3215	scaduta	
37-40	3215-3216	)	
37-41	3216-3217	,	
37-42	3218-3222	vidi	
37-43	3223-3226	che	
37-44	3227-3229	la	
37-45	3230-3239	boscaglia	
37-46	3240-3249	infittiva	
37-47	3250-3251	e	
37-48	3252-3255	che	
37-49	3256-3258	la	
37-50	3259-3265	strada	
37-51	3266-3275	diventava	
37-52	3276-3281	calda	
37-53	3282-3283	e	
37-54	3284-3292	sabbiosa	
37-55	3292-3293	.	

#Text=Il fiume mi fu davanti all’improvviso.
38-1	3294-3296	Il	
38-2	3297-3302	fiume	
38-3	3303-3305	mi	
38-4	3306-3308	fu	
38-5	3309-3316	davanti	
38-6	3317-3320	all	
38-7	3320-3321	’	
38-8	3321-3331	improvviso	
38-9	3331-3332	.	

#Text=Stavano costruendo un altro ponte.
39-1	3333-3340	Stavano	
39-2	3341-3351	costruendo	
39-3	3352-3354	un	
39-4	3355-3360	altro	
39-5	3361-3366	ponte	
39-6	3366-3367	.	

#Text=Tra i grossi alberi c’era ancora qualche croce e sotto la sabbia calda, nelle cassette della carne in scatola e delle gallette, c’era ancora qualche cadavere.
40-1	3371-3374	Tra	
40-2	3375-3376	i	
40-3	3377-3383	grossi	
40-4	3384-3390	alberi	
40-5	3391-3392	c	
40-6	3392-3393	’	
40-7	3393-3396	era	
40-8	3397-3403	ancora	
40-9	3404-3411	qualche	
40-10	3412-3417	croce	
40-11	3418-3419	e	
40-12	3420-3425	sotto	
40-13	3426-3428	la	
40-14	3429-3435	sabbia	
40-15	3436-3441	calda	
40-16	3441-3442	,	
40-17	3443-3448	nelle	
40-18	3449-3457	cassette	
40-19	3458-3463	della	
40-20	3464-3469	carne	
40-21	3470-3472	in	
40-22	3473-3480	scatola	
40-23	3481-3482	e	
40-24	3483-3488	delle	
40-25	3489-3497	gallette	
40-26	3497-3498	,	
40-27	3499-3500	c	
40-28	3500-3501	’	
40-29	3501-3504	era	
40-30	3505-3511	ancora	
40-31	3512-3519	qualche	
40-32	3520-3528	cadavere	
40-33	3528-3529	.	

#Text=Qualche soldato che s’era fermato dicendo: «Non ce la faccio» e aveva anche penato a convincere il sergente e poi il tenente e poi il capitano che lo lasciassero a riposare.
41-1	3530-3537	Qualche	
41-2	3538-3545	soldato	
41-3	3546-3549	che	
41-4	3550-3551	s	
41-5	3551-3552	’	
41-6	3552-3555	era	
41-7	3556-3563	fermato	
41-8	3564-3571	dicendo	
41-9	3571-3572	:	
41-10	3573-3574	«	
41-11	3574-3577	Non	
41-12	3578-3580	ce	
41-13	3581-3583	la	
41-14	3584-3590	faccio	
41-15	3590-3591	»	
41-16	3592-3593	e	
41-17	3594-3599	aveva	
41-18	3600-3605	anche	
41-19	3606-3612	penato	
41-20	3613-3614	a	
41-21	3615-3625	convincere	
41-22	3626-3628	il	
41-23	3629-3637	sergente	
41-24	3638-3639	e	
41-25	3640-3643	poi	
41-26	3644-3646	il	
41-27	3647-3654	tenente	
41-28	3655-3656	e	
41-29	3657-3660	poi	
41-30	3661-3663	il	
41-31	3664-3672	capitano	
41-32	3673-3676	che	
41-33	3677-3679	lo	
41-34	3680-3691	lasciassero	
41-35	3692-3693	a	
41-36	3694-3702	riposare	
41-37	3702-3703	.	

#Text=E qualcosa di quella natura l’aveva avvertito (forse la sabbia grigia, o le gemme degli alberi), che il suo riposo cominciava davvero.
42-1	3704-3705	E	
42-2	3706-3714	qualcosa	
42-3	3715-3717	di	
42-4	3718-3724	quella	
42-5	3725-3731	natura	
42-6	3732-3733	l	
42-7	3733-3734	’	
42-8	3734-3739	aveva	
42-9	3740-3749	avvertito	
42-10	3750-3751	(	
42-11	3751-3756	forse	
42-12	3757-3759	la	
42-13	3760-3766	sabbia	
42-14	3767-3773	grigia	
42-15	3773-3774	,	
42-16	3775-3776	o	
42-17	3777-3779	le	
42-18	3780-3785	gemme	
42-19	3786-3791	degli	
42-20	3792-3798	alberi	
42-21	3798-3799	)	
42-22	3799-3800	,	
42-23	3801-3804	che	
42-24	3805-3807	il	
42-25	3808-3811	suo	
42-26	3812-3818	riposo	
42-27	3819-3829	cominciava	
42-28	3830-3837	davvero	
42-29	3837-3838	.	

#Text=Quelli che incassano le gallette e la carne, lassù a tante migliaia di chilometri, non sanno che quel legno è prezioso.
43-1	3839-3845	Quelli	
43-2	3846-3849	che	
43-3	3850-3859	incassano	
43-4	3860-3862	le	
43-5	3863-3871	gallette	
43-6	3872-3873	e	
43-7	3874-3876	la	
43-8	3877-3882	carne	
43-9	3882-3883	,	
43-10	3884-3889	lassù	
43-11	3890-3891	a	
43-12	3892-3897	tante	
43-13	3898-3906	migliaia	
43-14	3907-3909	di	
43-15	3910-3920	chilometri	
43-16	3920-3921	,	
43-17	3922-3925	non	
43-18	3926-3931	sanno	
43-19	3932-3935	che	
43-20	3936-3940	quel	
43-21	3941-3946	legno	
43-22	3947-3948	è	
43-23	3949-3957	prezioso	
43-24	3957-3958	.	

#Text=Un legno veramente fragile!
44-1	3959-3961	Un	
44-2	3962-3967	legno	
44-3	3968-3977	veramente	
44-4	3978-3985	fragile	
44-5	3985-3986	!	

#Text=Una cassetta serve sempre, e chi ne possiede appena una si allieta la tenda di un mobile straordinario: nei periodi di calma fa in tempo a mettervi il ritratto della donna amata, tra un libro e la borsa del tabacco.
45-1	3987-3990	Una	
45-2	3991-3999	cassetta	
45-3	4000-4005	serve	
45-4	4006-4012	sempre	
45-5	4012-4013	,	
45-6	4014-4015	e	
45-7	4016-4019	chi	
45-8	4020-4022	ne	
45-9	4023-4031	possiede	
45-10	4032-4038	appena	
45-11	4039-4042	una	
45-12	4043-4045	si	
45-13	4046-4053	allieta	
45-14	4054-4056	la	
45-15	4057-4062	tenda	
45-16	4063-4065	di	
45-17	4066-4068	un	
45-18	4069-4075	mobile	
45-19	4076-4089	straordinario	
45-20	4089-4090	:	
45-21	4091-4094	nei	
45-22	4095-4102	periodi	
45-23	4103-4105	di	
45-24	4106-4111	calma	
45-25	4112-4114	fa	
45-26	4115-4117	in	
45-27	4118-4123	tempo	
45-28	4124-4125	a	
45-29	4126-4134	mettervi	
45-30	4135-4137	il	
45-31	4138-4146	ritratto	
45-32	4147-4152	della	
45-33	4153-4158	donna	
45-34	4159-4164	amata	
45-35	4164-4165	,	
45-36	4166-4169	tra	
45-37	4170-4172	un	
45-38	4173-4178	libro	
45-39	4179-4180	e	
45-40	4181-4183	la	
45-41	4184-4189	borsa	
45-42	4190-4193	del	
45-43	4194-4201	tabacco	
45-44	4201-4202	.	

#Text=E non è tanto difficile procurarsi una donna da amare, quanto procurarsi una cassetta.
46-1	4203-4204	E	
46-2	4205-4208	non	
46-3	4209-4210	è	
46-4	4211-4216	tanto	
46-5	4217-4226	difficile	
46-6	4227-4237	procurarsi	
46-7	4238-4241	una	
46-8	4242-4247	donna	
46-9	4248-4250	da	
46-10	4251-4256	amare	
46-11	4256-4257	,	
46-12	4258-4264	quanto	
46-13	4265-4275	procurarsi	
46-14	4276-4279	una	
46-15	4280-4288	cassetta	
46-16	4288-4289	.	

#Text=Neanche un autocarro.
47-1	4293-4300	Neanche	
47-2	4301-4303	un	
47-3	4304-4313	autocarro	
47-4	4313-4314	.	

